Data;ID sklepu;Miasto;Kategoria;SKU;Czas trwania (h);Szac. utrata sprzedaży (PLN);Powód
2024-05-17;PLN-043;Wrocław;Mięso i wędliny;Polędwica wołowa;5.850000000000001;38;Opóźniona dostawa
2024-05-17;PLN-110;Opole;Chemia i higiena;Sok pomarańcz. 1L;2.21;27;Niedoszacowana prognoza popytu
2024-05-17;PLN-010;Warszawa;Warzywa i owoce;Wieprzowina karkówka 1kg;4.55;56;Błąd kierownika sklepu
2024-05-17;PLN-044;Wrocław;Nabiał i jaja;Mleko UHT 3.2% 1L;2.47;57;Niedoszacowana prognoza popytu
2024-05-17;PLN-027;Kraków;Mięso i wędliny;Pieczywo razowe 400g;15.21;357;Niedoszacowana prognoza popytu
2024-05-17;PLN-095;Bydgoszcz;Pieczywo;Łosoś świeży 200g;3.25;184;Burst popytowy (event/pogoda)
2024-05-17;PLN-019;Warszawa;Piwo i alkohol;Wieprzowina karkówka 1kg;12.09;1790;Opóźniona dostawa
2024-05-18;PLN-054;Wrocław;Pieczywo;Sok pomarańcz. 1L;3.77;341;Błąd kierownika sklepu
2024-05-18;PLN-072;Poznań;Ryby i mrożonki;Bagietka;2.6;75;Burst popytowy (event/pogoda)
2024-05-18;PLN-090;Lublin;Lody i desery;Polędwica wołowa;6.5;157;Błąd kierownika sklepu
2024-05-18;PLN-055;Poznań;Mięso i wędliny;Wieprzowina karkówka 1kg;0.39;10;Niedoszacowana prognoza popytu
2024-05-18;PLN-058;Poznań;Sucha żywność / kasze;Kefir 400g;3.12;375;Niedoszacowana prognoza popytu
2024-05-18;PLN-021;Warszawa;Lody i desery;Polędwica wołowa;7.670000000000001;276;Błąd kierownika sklepu
2024-05-20;PLN-016;Warszawa;Słodycze i przekąski;Kefir 400g;1.1;62;Błąd kierownika sklepu
2024-05-20;PLN-074;Łódź;Nabiał i jaja;Kurczak filet 1kg;7.2;63;Niedoszacowana prognoza popytu
2024-05-20;PLN-038;Kraków;Napoje bezalkoholowe;Bagietka;1.0;6;Niedoszacowana prognoza popytu
2024-05-20;PLN-099;Szczecin;Karma i akcesoria zwierzęce;Pomidory 1kg;1.0;49;Opóźniona dostawa
2024-05-20;PLN-010;Warszawa;Pieczywo;Truskawki 500g;0.7;12;Niedoszacowana prognoza popytu
2024-05-20;PLN-028;Kraków;Mięso i wędliny;Kefir 400g;0.7;5;Opóźniona dostawa
2024-05-20;PLN-042;Wrocław;Ryby i mrożonki;Łosoś świeży 200g;2.0;171;Niedoszacowana prognoza popytu
2024-05-21;PLN-067;Poznań;Mięso i wędliny;Jabłka 1kg;9.6;1086;Niedoszacowana prognoza popytu
2024-05-21;PLN-024;Warszawa;Napoje bezalkoholowe;Banany 1kg;0.8;4;Burst popytowy (event/pogoda)
2024-05-21;PLN-055;Poznań;Napoje bezalkoholowe;Twaróg 250g;1.4;247;Niedoszacowana prognoza popytu
2024-05-21;PLN-107;Częstochowa;Piwo i alkohol;Jajka L 10szt;4.7;274;Niedoszacowana prognoza popytu
2024-05-22;PLN-082;Łódź;Nabiał i jaja;Pomidory 1kg;6.1;43;Opóźniona dostawa
2024-05-22;PLN-105;Toruń;Warzywa i owoce;Polędwica wołowa;1.7;245;Niedoszacowana prognoza popytu
2024-05-22;PLN-070;Poznań;Nabiał i jaja;Kurczak filet 1kg;1.3;34;Opóźniona dostawa
2024-05-22;PLN-047;Wrocław;Mrożonki;Łosoś świeży 200g;4.0;130;Opóźniona dostawa
2024-05-22;PLN-078;Łódź;Warzywa i owoce;Wieprzowina karkówka 1kg;6.6;96;Niedoszacowana prognoza popytu
2024-05-22;PLN-040;Kraków;Mrożonki;Łosoś świeży 200g;2.5;258;Opóźniona dostawa
2024-05-22;PLN-042;Wrocław;Chemia i higiena;Jajka L 10szt;0.7;10;Opóźniona dostawa
2024-05-22;PLN-092;Lublin;Warzywa i owoce;Kefir 400g;1.3;55;Brak na centralnym magazynie
2024-05-22;PLN-131;Legnica;Mięso i wędliny;Pieczywo razowe 400g;6.0;502;Niedoszacowana prognoza popytu
2024-05-23;PLN-085;Gdańsk;Mięso i wędliny;Sok pomarańcz. 1L;4.0;486;Brak na centralnym magazynie
2024-05-23;PLN-034;Kraków;Mięso i wędliny;Łosoś świeży 200g;0.3;15;Burst popytowy (event/pogoda)
2024-05-23;PLN-093;Lublin;Nabiał i jaja;Sok pomarańcz. 1L;6.1;114;Opóźniona dostawa
2024-05-23;PLN-103;Toruń;Mięso i wędliny;Łosoś świeży 200g;5.6;656;Błąd kierownika sklepu
2024-05-23;PLN-066;Poznań;Mięso i wędliny;Masło 200g;4.9;263;Burst popytowy (event/pogoda)
2024-05-23;PLN-014;Warszawa;Dziecko;Pomidory 1kg;1.2;86;Opóźniona dostawa
2024-05-24;PLN-006;Warszawa;Słodycze i przekąski;Kefir 400g;4.16;177;Opóźniona dostawa
2024-05-24;PLN-109;Opole;Warzywa i owoce;Mleko UHT 3.2% 1L;3.38;104;Opóźniona dostawa
2024-05-24;PLN-038;Kraków;Warzywa i owoce;Twaróg 250g;0.78;4;Awaria dostawcy
2024-05-24;PLN-108;Częstochowa;Mięso i wędliny;Pomidory 1kg;5.460000000000001;97;Niedoszacowana prognoza popytu
2024-05-24;PLN-039;Kraków;Dziecko;Łosoś świeży 200g;0.39;15;Opóźniona dostawa
2024-05-24;PLN-023;Warszawa;Nabiał i jaja;Truskawki 500g;0.9099999999999999;11;Awaria dostawcy
2024-05-24;PLN-075;Łódź;Non-food / dom;Sok pomarańcz. 1L;0.39;52;Opóźniona dostawa
2024-05-24;PLN-013;Warszawa;Słodycze i przekąski;Polędwica wołowa;9.620000000000001;95;Opóźniona dostawa
2024-05-25;PLN-093;Lublin;Mrożonki;Banany 1kg;16.77;157;Niedoszacowana prognoza popytu
2024-05-25;PLN-136;Jelenia Góra;Piwo i alkohol;Kefir 400g;1.17;10;Awaria dostawcy
2024-05-25;PLN-080;Łódź;Sucha żywność / kasze;Jabłka 1kg;4.29;456;Błąd kierownika sklepu
2024-05-25;PLN-002;Warszawa;Chemia i higiena;Banany 1kg;0.39;69;Opóźniona dostawa
2024-05-25;PLN-004;Warszawa;Warzywa i owoce;Jabłka 1kg;0.52;7;Niedoszacowana prognoza popytu
2024-05-27;PLN-056;Poznań;Mrożonki;Banany 1kg;6.5;115;Niedoszacowana prognoza popytu
2024-05-27;PLN-047;Wrocław;Napoje bezalkoholowe;Pieczywo razowe 400g;4.1;43;Niedoszacowana prognoza popytu
2024-05-27;PLN-090;Lublin;Sucha żywność / kasze;Pomidory 1kg;1.9;76;Opóźniona dostawa
2024-05-27;PLN-055;Poznań;Non-food / dom;Sok pomarańcz. 1L;2.5;16;Opóźniona dostawa
2024-05-27;PLN-140;Radom;Mięso i wędliny;Masło 200g;9.0;276;Niedoszacowana prognoza popytu
2024-05-27;PLN-054;Wrocław;Ryby i mrożonki;Bagietka;9.6;323;Opóźniona dostawa
2024-05-27;PLN-015;Warszawa;Napoje bezalkoholowe;Jabłka 1kg;7.4;113;Burst popytowy (event/pogoda)
2024-05-27;PLN-132;Legnica;Ryby i mrożonki;Jajka L 10szt;1.9;28;Burst popytowy (event/pogoda)
2024-05-27;PLN-124;Leszno;Mrożonki;Wieprzowina karkówka 1kg;6.9;109;Opóźniona dostawa
2024-05-28;PLN-065;Poznań;Chemia i higiena;Wieprzowina karkówka 1kg;1.7;35;Błąd kierownika sklepu
2024-05-28;PLN-043;Wrocław;Mięso i wędliny;Banany 1kg;1.4;50;Burst popytowy (event/pogoda)
2024-05-28;PLN-011;Warszawa;Warzywa i owoce;Twaróg 250g;1.0;91;Awaria dostawcy
2024-05-28;PLN-112;Kalisz;Nabiał i jaja;Mleko UHT 3.2% 1L;6.3;49;Opóźniona dostawa
2024-05-28;PLN-010;Warszawa;Mięso i wędliny;Banany 1kg;0.6;38;Opóźniona dostawa
2024-05-28;PLN-023;Warszawa;Mrożonki;Sok pomarańcz. 1L;0.7;153;Brak na centralnym magazynie
2024-05-28;PLN-085;Gdańsk;Warzywa i owoce;Wieprzowina karkówka 1kg;0.3;0;Niedoszacowana prognoza popytu
2024-05-28;PLN-064;Poznań;Nabiał i jaja;Bagietka;3.0;257;Opóźniona dostawa
2024-05-29;PLN-063;Poznań;Piwo i alkohol;Pieczywo razowe 400g;21.0;2002;Błąd kierownika sklepu
2024-05-29;PLN-012;Warszawa;Nabiał i jaja;Masło 200g;5.2;34;Niedoszacowana prognoza popytu
2024-05-29;PLN-050;Wrocław;Napoje bezalkoholowe;Masło 200g;0.3;16;Błąd kierownika sklepu
2024-05-29;PLN-043;Wrocław;Słodycze i przekąski;Truskawki 500g;4.6;11;Niedoszacowana prognoza popytu
2024-05-29;PLN-087;Gdańsk;Piwo i alkohol;Masło 200g;4.1;86;Awaria dostawcy
2024-05-29;PLN-066;Poznań;Dziecko;Bagietka;4.3;34;Brak na centralnym magazynie
2024-05-29;PLN-033;Kraków;Mrożonki;Pieczywo razowe 400g;0.9;13;Opóźniona dostawa
2024-05-29;PLN-060;Poznań;Warzywa i owoce;Bagietka;1.8;8;Brak na centralnym magazynie
2024-05-29;PLN-134;Wałbrzych;Ryby i mrożonki;Mleko UHT 3.2% 1L;1.8;47;Niedoszacowana prognoza popytu
2024-05-30;PLN-041;Wrocław;Non-food / dom;Polędwica wołowa;0.3;4;Burst popytowy (event/pogoda)
2024-05-30;PLN-041;Wrocław;Piwo i alkohol;Truskawki 500g;4.5;15;Burst popytowy (event/pogoda)
2024-05-30;PLN-081;Łódź;Warzywa i owoce;Łosoś świeży 200g;1.2;22;Błąd kierownika sklepu
2024-05-30;PLN-119;Gniezno;Mrożonki;Wieprzowina karkówka 1kg;0.4;4;Niedoszacowana prognoza popytu
2024-05-30;PLN-061;Poznań;Piwo i alkohol;Polędwica wołowa;7.0;1612;Opóźniona dostawa
2024-05-30;PLN-083;Łódź;Sucha żywność / kasze;Jajka L 10szt;1.5;37;Brak na centralnym magazynie
2024-05-30;PLN-063;Poznań;Warzywa i owoce;Pomidory 1kg;1.6;147;Niedoszacowana prognoza popytu
2024-05-31;PLN-104;Toruń;Nabiał i jaja;Kefir 400g;4.55;136;Niedoszacowana prognoza popytu
2024-05-31;PLN-065;Poznań;Piwo i alkohol;Twaróg 250g;12.74;1280;Opóźniona dostawa
2024-06-01;PLN-056;Poznań;Piwo i alkohol;Jabłka 1kg;8.06;59;Niedoszacowana prognoza popytu
2024-06-01;PLN-089;Gdańsk;Dziecko;Bagietka;4.42;262;Błąd kierownika sklepu
2024-06-01;PLN-090;Lublin;Sucha żywność / kasze;Pomidory 1kg;1.69;7;Opóźniona dostawa
2024-06-01;PLN-100;Katowice;Piwo i alkohol;Sok pomarańcz. 1L;1.43;28;Niedoszacowana prognoza popytu
2024-06-01;PLN-013;Warszawa;Mięso i wędliny;Sok pomarańcz. 1L;2.73;27;Niedoszacowana prognoza popytu
2024-06-01;PLN-101;Katowice;Warzywa i owoce;Kurczak filet 1kg;1.43;1;Opóźniona dostawa
2024-06-03;PLN-100;Katowice;Dziecko;Wieprzowina karkówka 1kg;0.3;35;Błąd kierownika sklepu
2024-06-03;PLN-014;Warszawa;Lody i desery;Kefir 400g;0.3;15;Opóźniona dostawa
2024-06-03;PLN-025;Kraków;Karma i akcesoria zwierzęce;Masło 200g;0.3;1;Opóźniona dostawa
2024-06-03;PLN-094;Bydgoszcz;Napoje bezalkoholowe;Pieczywo razowe 400g;3.6;177;Niedoszacowana prognoza popytu
2024-06-04;PLN-132;Legnica;Pieczywo;Sok pomarańcz. 1L;0.3;1;Niedoszacowana prognoza popytu
2024-06-04;PLN-060;Poznań;Mięso i wędliny;Pomidory 1kg;2.7;240;Brak na centralnym magazynie
2024-06-04;PLN-138;Radom;Warzywa i owoce;Łosoś świeży 200g;2.1;264;Błąd kierownika sklepu
2024-06-04;PLN-003;Warszawa;Piwo i alkohol;Banany 1kg;0.3;0;Opóźniona dostawa
2024-06-05;PLN-020;Warszawa;Piwo i alkohol;Bagietka;3.3;58;Brak na centralnym magazynie
2024-06-05;PLN-002;Warszawa;Non-food / dom;Kurczak filet 1kg;1.2;123;Niedoszacowana prognoza popytu
2024-06-05;PLN-032;Kraków;Pieczywo;Jajka L 10szt;5.7;284;Opóźniona dostawa
2024-06-05;PLN-030;Kraków;Dziecko;Polędwica wołowa;0.3;0;Burst popytowy (event/pogoda)
2024-06-05;PLN-112;Kalisz;Piwo i alkohol;Mleko UHT 3.2% 1L;0.3;16;Niedoszacowana prognoza popytu
2024-06-05;PLN-119;Gniezno;Chemia i higiena;Sok pomarańcz. 1L;0.3;10;Niedoszacowana prognoza popytu
2024-06-05;PLN-071;Poznań;Ryby i mrożonki;Mleko UHT 3.2% 1L;3.8;78;Brak na centralnym magazynie
2024-06-06;PLN-134;Wałbrzych;Karma i akcesoria zwierzęce;Pomidory 1kg;2.8;18;Burst popytowy (event/pogoda)
2024-06-06;PLN-002;Warszawa;Słodycze i przekąski;Jabłka 1kg;6.1;37;Opóźniona dostawa
2024-06-06;PLN-013;Warszawa;Karma i akcesoria zwierzęce;Pomidory 1kg;3.4;160;Burst popytowy (event/pogoda)
2024-06-06;PLN-059;Poznań;Słodycze i przekąski;Łosoś świeży 200g;0.3;2;Niedoszacowana prognoza popytu
2024-06-06;PLN-004;Warszawa;Ryby i mrożonki;Jabłka 1kg;1.8;14;Opóźniona dostawa
2024-06-07;PLN-006;Warszawa;Warzywa i owoce;Kurczak filet 1kg;3.64;49;Niedoszacowana prognoza popytu
2024-06-07;PLN-095;Bydgoszcz;Chemia i higiena;Pieczywo razowe 400g;3.12;7;Opóźniona dostawa
2024-06-07;PLN-048;Wrocław;Mrożonki;Łosoś świeży 200g;4.03;59;Opóźniona dostawa
2024-06-07;PLN-050;Wrocław;Piwo i alkohol;Banany 1kg;0.39;18;Burst popytowy (event/pogoda)
2024-06-07;PLN-011;Warszawa;Sucha żywność / kasze;Jajka L 10szt;3.25;80;Niedoszacowana prognoza popytu
2024-06-07;PLN-047;Wrocław;Napoje bezalkoholowe;Jabłka 1kg;1.3;25;Niedoszacowana prognoza popytu
2024-06-07;PLN-027;Kraków;Mięso i wędliny;Jajka L 10szt;0.39;1;Niedoszacowana prognoza popytu
2024-06-08;PLN-140;Radom;Sucha żywność / kasze;Banany 1kg;4.94;99;Opóźniona dostawa
2024-06-08;PLN-034;Kraków;Sucha żywność / kasze;Banany 1kg;2.47;67;Opóźniona dostawa
2024-06-08;PLN-108;Częstochowa;Słodycze i przekąski;Kurczak filet 1kg;2.47;168;Brak na centralnym magazynie
2024-06-08;PLN-112;Kalisz;Warzywa i owoce;Jabłka 1kg;2.73;21;Brak na centralnym magazynie
2024-06-08;PLN-113;Kalisz;Nabiał i jaja;Banany 1kg;3.9;206;Opóźniona dostawa
2024-06-08;PLN-071;Poznań;Warzywa i owoce;Jajka L 10szt;14.3;272;Burst popytowy (event/pogoda)
2024-06-08;PLN-102;Katowice;Ryby i mrożonki;Mleko UHT 3.2% 1L;0.39;50;Niedoszacowana prognoza popytu
2024-06-10;PLN-091;Lublin;Warzywa i owoce;Truskawki 500g;2.4;86;Niedoszacowana prognoza popytu
2024-06-10;PLN-125;Tarnów;Nabiał i jaja;Bagietka;4.8;119;Burst popytowy (event/pogoda)
2024-06-10;PLN-043;Wrocław;Napoje bezalkoholowe;Jabłka 1kg;9.6;227;Burst popytowy (event/pogoda)
2024-06-10;PLN-130;Nowy Sącz;Mięso i wędliny;Wieprzowina karkówka 1kg;0.6;30;Opóźniona dostawa
2024-06-10;PLN-064;Poznań;Non-food / dom;Sok pomarańcz. 1L;4.2;154;Opóźniona dostawa
2024-06-11;PLN-110;Opole;Nabiał i jaja;Masło 200g;2.3;3;Niedoszacowana prognoza popytu
2024-06-11;PLN-098;Szczecin;Dziecko;Wieprzowina karkówka 1kg;2.8;62;Awaria dostawcy
2024-06-12;PLN-135;Wałbrzych;Mięso i wędliny;Truskawki 500g;0.6;24;Burst popytowy (event/pogoda)
2024-06-12;PLN-091;Lublin;Nabiał i jaja;Jajka L 10szt;5.3;200;Niedoszacowana prognoza popytu
2024-06-12;PLN-137;Jelenia Góra;Warzywa i owoce;Jabłka 1kg;5.3;290;Brak na centralnym magazynie
2024-06-12;PLN-060;Poznań;Mrożonki;Bagietka;2.4;24;Burst popytowy (event/pogoda)
2024-06-12;PLN-085;Gdańsk;Napoje bezalkoholowe;Łosoś świeży 200g;6.4;81;Opóźniona dostawa
2024-06-12;PLN-137;Jelenia Góra;Sucha żywność / kasze;Kurczak filet 1kg;1.3;34;Brak na centralnym magazynie
2024-06-12;PLN-055;Poznań;Sucha żywność / kasze;Masło 200g;11.5;298;Niedoszacowana prognoza popytu
2024-06-12;PLN-071;Poznań;Piwo i alkohol;Polędwica wołowa;0.3;4;Niedoszacowana prognoza popytu
2024-06-13;PLN-043;Wrocław;Mięso i wędliny;Jabłka 1kg;1.5;134;Awaria dostawcy
2024-06-13;PLN-028;Kraków;Piwo i alkohol;Sok pomarańcz. 1L;1.7;90;Opóźniona dostawa
2024-06-13;PLN-007;Warszawa;Warzywa i owoce;Jajka L 10szt;0.3;12;Błąd kierownika sklepu
2024-06-13;PLN-018;Warszawa;Mrożonki;Pieczywo razowe 400g;2.5;43;Burst popytowy (event/pogoda)
2024-06-13;PLN-053;Wrocław;Warzywa i owoce;Twaróg 250g;4.2;390;Niedoszacowana prognoza popytu
2024-06-14;PLN-140;Radom;Słodycze i przekąski;Bagietka;1.69;23;Opóźniona dostawa
2024-06-14;PLN-048;Wrocław;Chemia i higiena;Pieczywo razowe 400g;0.78;34;Awaria dostawcy
2024-06-14;PLN-126;Tarnów;Pieczywo;Pieczywo razowe 400g;7.279999999999999;186;Opóźniona dostawa
2024-06-14;PLN-114;Kalisz;Słodycze i przekąski;Łosoś świeży 200g;2.08;41;Opóźniona dostawa
2024-06-14;PLN-105;Toruń;Chemia i higiena;Truskawki 500g;31.07;251;Błąd kierownika sklepu
2024-06-14;PLN-029;Kraków;Mrożonki;Banany 1kg;4.680000000000001;68;Niedoszacowana prognoza popytu
2024-06-14;PLN-138;Radom;Mięso i wędliny;Masło 200g;9.1;855;Brak na centralnym magazynie
2024-06-15;PLN-014;Warszawa;Sucha żywność / kasze;Kefir 400g;1.3;87;Opóźniona dostawa
2024-06-15;PLN-057;Poznań;Piwo i alkohol;Jabłka 1kg;3.12;21;Opóźniona dostawa
2024-06-15;PLN-093;Lublin;Lody i desery;Kefir 400g;1.17;10;Opóźniona dostawa
2024-06-15;PLN-110;Opole;Sucha żywność / kasze;Kefir 400g;1.04;7;Opóźniona dostawa
2024-06-15;PLN-048;Wrocław;Mrożonki;Kefir 400g;2.73;7;Opóźniona dostawa
2024-06-17;PLN-126;Tarnów;Mięso i wędliny;Pomidory 1kg;1.5;143;Niedoszacowana prognoza popytu
2024-06-17;PLN-075;Łódź;Warzywa i owoce;Mleko UHT 3.2% 1L;3.5;200;Niedoszacowana prognoza popytu
2024-06-17;PLN-057;Poznań;Karma i akcesoria zwierzęce;Łosoś świeży 200g;6.6;511;Opóźniona dostawa
2024-06-17;PLN-082;Łódź;Mięso i wędliny;Jajka L 10szt;5.3;68;Niedoszacowana prognoza popytu
2024-06-17;PLN-023;Warszawa;Pieczywo;Pomidory 1kg;1.9;51;Niedoszacowana prognoza popytu
2024-06-18;PLN-036;Kraków;Napoje bezalkoholowe;Jajka L 10szt;15.4;584;Burst popytowy (event/pogoda)
2024-06-18;PLN-072;Poznań;Napoje bezalkoholowe;Wieprzowina karkówka 1kg;1.2;15;Niedoszacowana prognoza popytu
2024-06-19;PLN-128;Nowy Sącz;Mięso i wędliny;Truskawki 500g;26.2;198;Brak na centralnym magazynie
2024-06-19;PLN-117;Płock;Słodycze i przekąski;Polędwica wołowa;8.4;372;Burst popytowy (event/pogoda)
2024-06-20;PLN-080;Łódź;Nabiał i jaja;Wieprzowina karkówka 1kg;3.6;181;Opóźniona dostawa
2024-06-20;PLN-102;Katowice;Mięso i wędliny;Pieczywo razowe 400g;1.4;8;Opóźniona dostawa
2024-06-20;PLN-046;Wrocław;Warzywa i owoce;Pieczywo razowe 400g;5.4;11;Opóźniona dostawa
2024-06-20;PLN-048;Wrocław;Nabiał i jaja;Bagietka;1.6;167;Burst popytowy (event/pogoda)
2024-06-20;PLN-075;Łódź;Pieczywo;Polędwica wołowa;12.6;1165;Brak na centralnym magazynie
2024-06-20;PLN-041;Wrocław;Napoje bezalkoholowe;Jajka L 10szt;5.8;389;Opóźniona dostawa
2024-06-20;PLN-135;Wałbrzych;Sucha żywność / kasze;Kefir 400g;3.6;290;Brak na centralnym magazynie
2024-06-21;PLN-058;Poznań;Słodycze i przekąski;Łosoś świeży 200g;2.86;145;Awaria dostawcy
2024-06-21;PLN-021;Warszawa;Mięso i wędliny;Mleko UHT 3.2% 1L;24.18;49;Opóźniona dostawa
2024-06-21;PLN-005;Warszawa;Mięso i wędliny;Banany 1kg;0.78;15;Niedoszacowana prognoza popytu
2024-06-22;PLN-054;Wrocław;Lody i desery;Sok pomarańcz. 1L;9.879999999999999;507;Niedoszacowana prognoza popytu
2024-06-22;PLN-017;Warszawa;Sucha żywność / kasze;Wieprzowina karkówka 1kg;0.78;19;Opóźniona dostawa
2024-06-22;PLN-098;Szczecin;Dziecko;Kefir 400g;11.96;834;Błąd kierownika sklepu
2024-06-22;PLN-102;Katowice;Mięso i wędliny;Sok pomarańcz. 1L;0.78;12;Opóźniona dostawa
2024-06-22;PLN-049;Wrocław;Mrożonki;Polędwica wołowa;3.12;73;Opóźniona dostawa
2024-06-22;PLN-001;Warszawa;Nabiał i jaja;Banany 1kg;11.18;582;Opóźniona dostawa
2024-06-22;PLN-081;Łódź;Ryby i mrożonki;Masło 200g;27.56;1282;Opóźniona dostawa
2024-06-22;PLN-059;Poznań;Słodycze i przekąski;Truskawki 500g;10.14;320;Niedoszacowana prognoza popytu
2024-06-22;PLN-038;Kraków;Sucha żywność / kasze;Wieprzowina karkówka 1kg;16.12;3;Burst popytowy (event/pogoda)
2024-06-22;PLN-139;Radom;Ryby i mrożonki;Jabłka 1kg;0.78;10;Opóźniona dostawa
2024-06-24;PLN-065;Poznań;Nabiał i jaja;Mleko UHT 3.2% 1L;2.6;34;Błąd kierownika sklepu
2024-06-24;PLN-043;Wrocław;Słodycze i przekąski;Twaróg 250g;1.9;80;Opóźniona dostawa
2024-06-24;PLN-013;Warszawa;Sucha żywność / kasze;Polędwica wołowa;14.1;445;Niedoszacowana prognoza popytu
2024-06-24;PLN-085;Gdańsk;Mięso i wędliny;Kefir 400g;4.3;282;Niedoszacowana prognoza popytu
2024-06-24;PLN-126;Tarnów;Chemia i higiena;Twaróg 250g;4.6;402;Niedoszacowana prognoza popytu
2024-06-25;PLN-069;Poznań;Słodycze i przekąski;Pieczywo razowe 400g;0.3;7;Opóźniona dostawa
2024-06-25;PLN-032;Kraków;Nabiał i jaja;Pieczywo razowe 400g;0.9;29;Niedoszacowana prognoza popytu
2024-06-25;PLN-056;Poznań;Non-food / dom;Bagietka;8.2;284;Brak na centralnym magazynie
2024-06-25;PLN-031;Kraków;Ryby i mrożonki;Kurczak filet 1kg;2.5;62;Awaria dostawcy
2024-06-25;PLN-114;Kalisz;Nabiał i jaja;Banany 1kg;0.9;32;Niedoszacowana prognoza popytu
2024-06-25;PLN-080;Łódź;Mięso i wędliny;Pieczywo razowe 400g;3.0;102;Burst popytowy (event/pogoda)
2024-06-26;PLN-019;Warszawa;Nabiał i jaja;Masło 200g;5.1;742;Niedoszacowana prognoza popytu
2024-06-26;PLN-029;Kraków;Nabiał i jaja;Masło 200g;1.8;47;Brak na centralnym magazynie
2024-06-26;PLN-050;Wrocław;Lody i desery;Twaróg 250g;1.9;288;Niedoszacowana prognoza popytu
2024-06-26;PLN-026;Kraków;Warzywa i owoce;Truskawki 500g;4.0;1090;Burst popytowy (event/pogoda)
2024-06-26;PLN-002;Warszawa;Mięso i wędliny;Jajka L 10szt;1.1;2;Niedoszacowana prognoza popytu
2024-06-26;PLN-079;Łódź;Nabiał i jaja;Pomidory 1kg;0.3;0;Niedoszacowana prognoza popytu
2024-06-26;PLN-107;Częstochowa;Lody i desery;Masło 200g;0.3;30;Burst popytowy (event/pogoda)
2024-06-27;PLN-018;Warszawa;Sucha żywność / kasze;Jabłka 1kg;2.7;195;Awaria dostawcy
2024-06-27;PLN-089;Gdańsk;Warzywa i owoce;Sok pomarańcz. 1L;1.5;146;Brak na centralnym magazynie
2024-06-27;PLN-002;Warszawa;Mięso i wędliny;Masło 200g;0.5;24;Opóźniona dostawa
2024-06-28;PLN-085;Gdańsk;Chemia i higiena;Polędwica wołowa;26.91;467;Niedoszacowana prognoza popytu
2024-06-28;PLN-005;Warszawa;Pieczywo;Twaróg 250g;2.34;34;Opóźniona dostawa
2024-06-28;PLN-041;Wrocław;Mięso i wędliny;Polędwica wołowa;1.17;11;Burst popytowy (event/pogoda)
2024-06-28;PLN-082;Łódź;Warzywa i owoce;Twaróg 250g;11.31;1085;Niedoszacowana prognoza popytu
2024-06-28;PLN-115;Płock;Mięso i wędliny;Masło 200g;2.6;64;Niedoszacowana prognoza popytu
2024-06-28;PLN-074;Łódź;Sucha żywność / kasze;Mleko UHT 3.2% 1L;14.95;186;Niedoszacowana prognoza popytu
2024-06-28;PLN-065;Poznań;Piwo i alkohol;Kurczak filet 1kg;0.39;3;Niedoszacowana prognoza popytu
2024-06-29;PLN-061;Poznań;Mięso i wędliny;Kurczak filet 1kg;2.34;16;Opóźniona dostawa
2024-06-29;PLN-068;Poznań;Ryby i mrożonki;Banany 1kg;0.39;3;Niedoszacowana prognoza popytu
2024-06-29;PLN-041;Wrocław;Warzywa i owoce;Jajka L 10szt;5.59;256;Niedoszacowana prognoza popytu
2024-06-29;PLN-059;Poznań;Warzywa i owoce;Masło 200g;2.86;44;Błąd kierownika sklepu
2024-06-29;PLN-023;Warszawa;Lody i desery;Polędwica wołowa;11.05;216;Niedoszacowana prognoza popytu
2024-06-29;PLN-095;Bydgoszcz;Chemia i higiena;Sok pomarańcz. 1L;2.08;173;Brak na centralnym magazynie
2024-06-29;PLN-054;Wrocław;Ryby i mrożonki;Polędwica wołowa;3.51;51;Niedoszacowana prognoza popytu
2024-06-30;PLN-031;Kraków;Nabiał i jaja;Pieczywo razowe 400g;4.2;153;Burst popytowy (event/pogoda)
2024-06-30;PLN-133;Legnica;Nabiał i jaja;Kurczak filet 1kg;0.4;3;Niedoszacowana prognoza popytu
2024-06-30;PLN-079;Łódź;Napoje bezalkoholowe;Jabłka 1kg;1.8;3;Burst popytowy (event/pogoda)
2024-07-01;PLN-059;Poznań;Pieczywo;Twaróg 250g;0.3;3;Opóźniona dostawa
2024-07-01;PLN-092;Lublin;Nabiał i jaja;Łosoś świeży 200g;0.3;42;Błąd kierownika sklepu
2024-07-01;PLN-130;Nowy Sącz;Warzywa i owoce;Jajka L 10szt;0.3;31;Niedoszacowana prognoza popytu
2024-07-01;PLN-099;Szczecin;Słodycze i przekąski;Twaróg 250g;1.5;26;Opóźniona dostawa
2024-07-01;PLN-124;Leszno;Lody i desery;Banany 1kg;1.0;57;Burst popytowy (event/pogoda)
2024-07-02;PLN-015;Warszawa;Non-food / dom;Banany 1kg;19.0;2018;Niedoszacowana prognoza popytu
2024-07-02;PLN-053;Wrocław;Słodycze i przekąski;Łosoś świeży 200g;0.5;1;Niedoszacowana prognoza popytu
2024-07-02;PLN-001;Warszawa;Mięso i wędliny;Mleko UHT 3.2% 1L;1.0;15;Burst popytowy (event/pogoda)
2024-07-02;PLN-098;Szczecin;Karma i akcesoria zwierzęce;Pomidory 1kg;6.8;118;Niedoszacowana prognoza popytu
2024-07-03;PLN-042;Wrocław;Mrożonki;Bagietka;3.0;20;Opóźniona dostawa
