Tydzień;Data początku tygodnia;SKU;Grupa;Cena PLON (PLN);Cena Biedronka (PLN);Cena Lidl (PLN);Cena Żabka (PLN);Cena Carrefour (PLN)
2024-W28;2024-07-15;Mąka pszenna 1kg;Suche;3.32;3.18;3.25;3.46;3.33
2024-W28;2024-07-15;Ryż biały 1kg;Suche;7.01;6.99;6.71;7.53;7.28
2024-W28;2024-07-15;Makaron Lubella 500g;Suche;4.59;4.12;4.52;5.15;4.7
2024-W28;2024-07-15;Olej rzepakowy 1L;Suche;9.03;8.73;8.23;9.98;9.02
2024-W28;2024-07-15;Płatki Nestle 250g;Suche;10.07;9.77;9.81;10.76;9.74
2024-W28;2024-07-15;Czekolada Wedel 100g;Słodycze;5.52;5.33;5.27;6.56;5.61
2024-W28;2024-07-15;Lody Magnum 4-pack;Lody;15.08;14.42;14.44;17.2;15.22
2024-W28;2024-07-15;Pampers 4 26szt;Dziecko;50.75;47.69;49.15;54.82;50.58
2024-W28;2024-07-15;Papier toaletowy 8r;Chemia;15.45;15.07;14.03;17.33;16.2
2024-W28;2024-07-15;Proszek Persil 5kg;Chemia;49.9;47.47;48.06;56.53;52.33
2024-W28;2024-07-15;Karma Whiskas 400g;Zwierzęta;5.59;5.27;4.88;6.15;5.82
2024-W28;2024-07-15;Karma Pedigree 1.2kg;Zwierzęta;12.01;11.82;11.58;13.16;12.26
2024-W29;2024-07-22;Mleko UHT 3.2% 1L;Nabiał;4.51;4.36;4.11;4.95;4.47
2024-W29;2024-07-22;Chleb wiejski 500g;Pieczywo;7.11;6.69;6.77;7.77;7.25
2024-W29;2024-07-22;Jajka L 10szt;Nabiał;9.55;8.87;9.01;10.6;9.63
2024-W29;2024-07-22;Masło ekstra 200g;Nabiał;9.31;8.59;8.73;10.36;9.19
2024-W29;2024-07-22;Banany 1kg;Owoce;5.63;5.34;5.29;6.19;5.63
2024-W29;2024-07-22;Pomidory 1kg;Warzywa;10.27;10.25;9.97;11.2;10.55
2024-W29;2024-07-22;Jabłka Ligol 1kg;Owoce;4.4;4.19;3.96;4.83;4.64
2024-W29;2024-07-22;Kurczak filet 1kg;Mięso;24.93;25.19;23.62;26.19;25.17
2024-W29;2024-07-22;Mielone wieprz. 500g;Mięso;14.89;14.18;14.43;16.55;15.66
2024-W29;2024-07-22;Karkówka 1kg;Mięso;26.98;26.99;25.6;32.7;26.61
2024-W29;2024-07-22;Coca-Cola 2L;Napoje;8.48;8.1;8.02;8.87;8.67
2024-W29;2024-07-22;Pepsi 2L;Napoje;7.9;7.41;7.41;8.69;8.32
2024-W29;2024-07-22;Woda Żywiec 1.5L;Napoje;2.51;2.35;2.28;2.88;2.59
2024-W29;2024-07-22;Piwo Tyskie 0.5L;Alkohol;3.93;3.85;3.85;4.39;4.0
2024-W29;2024-07-22;Piwo Lech 0.5L;Alkohol;3.74;3.61;3.47;4.43;3.88
2024-W29;2024-07-22;Wódka Wyborowa 0.5L;Alkohol;33.07;31.84;32.16;37.01;33.25
2024-W29;2024-07-22;Kawa Jacobs 250g;Suche;19.39;19.11;19.61;21.35;19.98
2024-W29;2024-07-22;Cukier biały 1kg;Suche;4.57;4.66;4.3;5.07;4.47
2024-W29;2024-07-22;Mąka pszenna 1kg;Suche;3.29;3.16;3.17;3.58;3.3
2024-W29;2024-07-22;Ryż biały 1kg;Suche;7.12;7.05;7.16;7.84;7.28
2024-W29;2024-07-22;Makaron Lubella 500g;Suche;4.47;4.29;4.18;4.62;4.29
2024-W29;2024-07-22;Olej rzepakowy 1L;Suche;8.98;8.2;8.73;9.34;9.65
2024-W29;2024-07-22;Płatki Nestle 250g;Suche;10.17;9.54;9.92;11.03;10.34
2024-W29;2024-07-22;Czekolada Wedel 100g;Słodycze;5.48;5.3;5.21;6.25;5.54
2024-W29;2024-07-22;Lody Magnum 4-pack;Lody;15.76;15.02;14.77;16.69;16.05
2024-W29;2024-07-22;Pampers 4 26szt;Dziecko;52.26;52.0;49.77;56.29;53.85
2024-W29;2024-07-22;Papier toaletowy 8r;Chemia;15.48;14.17;15.49;17.85;15.82
2024-W29;2024-07-22;Proszek Persil 5kg;Chemia;50.48;46.91;47.79;55.38;53.29
2024-W29;2024-07-22;Karma Whiskas 400g;Zwierzęta;5.79;5.53;5.64;6.27;6.05
2024-W29;2024-07-22;Karma Pedigree 1.2kg;Zwierzęta;12.19;11.15;11.95;13.32;12.23
2024-W30;2024-07-29;Mleko UHT 3.2% 1L;Nabiał;4.47;4.33;4.14;4.86;4.5
2024-W30;2024-07-29;Chleb wiejski 500g;Pieczywo;6.95;6.96;6.66;6.97;7.1
2024-W30;2024-07-29;Jajka L 10szt;Nabiał;9.48;8.49;8.84;10.25;9.79
2024-W30;2024-07-29;Masło ekstra 200g;Nabiał;9.08;8.29;8.46;9.14;9.28
2024-W30;2024-07-29;Banany 1kg;Owoce;5.48;5.52;5.19;5.81;5.63
2024-W30;2024-07-29;Pomidory 1kg;Warzywa;9.91;9.55;9.38;10.74;10.31
2024-W30;2024-07-29;Jabłka Ligol 1kg;Owoce;4.34;4.15;4.11;4.56;4.23
2024-W30;2024-07-29;Kurczak filet 1kg;Mięso;25.19;24.31;24.22;27.05;25.04
2024-W30;2024-07-29;Mielone wieprz. 500g;Mięso;15.43;14.19;14.56;16.64;15.53
2024-W30;2024-07-29;Karkówka 1kg;Mięso;27.01;25.31;25.92;31.12;28.18
2024-W30;2024-07-29;Coca-Cola 2L;Napoje;8.7;8.46;8.48;10.2;8.67
2024-W30;2024-07-29;Pepsi 2L;Napoje;7.9;7.36;7.53;8.44;8.09
2024-W30;2024-07-29;Woda Żywiec 1.5L;Napoje;2.46;2.28;2.32;2.71;2.61
2024-W30;2024-07-29;Piwo Tyskie 0.5L;Alkohol;4.07;3.81;3.49;4.22;3.86
2024-W30;2024-07-29;Piwo Lech 0.5L;Alkohol;3.89;3.84;3.57;4.35;3.8
2024-W30;2024-07-29;Wódka Wyborowa 0.5L;Alkohol;34.11;32.23;31.56;36.35;35.33
2024-W30;2024-07-29;Kawa Jacobs 250g;Suche;19.2;18.37;18.04;20.97;19.84
2024-W30;2024-07-29;Cukier biały 1kg;Suche;4.55;4.36;4.34;4.84;4.52
2024-W30;2024-07-29;Mąka pszenna 1kg;Suche;3.3;3.12;3.09;3.64;3.39
2024-W30;2024-07-29;Ryż biały 1kg;Suche;7.07;6.86;6.32;7.42;7.51
2024-W30;2024-07-29;Makaron Lubella 500g;Suche;4.57;4.44;4.28;4.71;4.61
2024-W30;2024-07-29;Olej rzepakowy 1L;Suche;9.09;8.55;8.47;9.82;9.53
2024-W30;2024-07-29;Płatki Nestle 250g;Suche;9.97;9.9;9.33;11.09;10.8
2024-W30;2024-07-29;Czekolada Wedel 100g;Słodycze;5.49;5.08;5.22;5.78;5.81
2024-W30;2024-07-29;Lody Magnum 4-pack;Lody;15.36;14.57;14.82;16.87;15.45
2024-W30;2024-07-29;Pampers 4 26szt;Dziecko;51.09;49.32;48.6;56.26;52.08
2024-W30;2024-07-29;Papier toaletowy 8r;Chemia;14.95;14.48;15.02;16.55;14.87
2024-W30;2024-07-29;Proszek Persil 5kg;Chemia;51.71;47.08;49.99;55.31;51.7
2024-W30;2024-07-29;Karma Whiskas 400g;Zwierzęta;5.61;5.07;5.03;5.85;5.67
2024-W30;2024-07-29;Karma Pedigree 1.2kg;Zwierzęta;11.88;11.09;11.48;13.19;12.64
2024-W31;2024-08-05;Mleko UHT 3.2% 1L;Nabiał;4.55;4.09;4.29;4.91;4.68
2024-W31;2024-08-05;Chleb wiejski 500g;Pieczywo;7.11;6.64;6.57;7.94;7.21
2024-W31;2024-08-05;Jajka L 10szt;Nabiał;9.5;9.22;8.99;10.01;9.56
2024-W31;2024-08-05;Masło ekstra 200g;Nabiał;9.09;8.58;9.36;9.46;8.97
2024-W31;2024-08-05;Banany 1kg;Owoce;5.61;5.59;5.29;6.02;5.96
2024-W31;2024-08-05;Pomidory 1kg;Warzywa;10.1;8.97;9.37;11.45;10.02
2024-W31;2024-08-05;Jabłka Ligol 1kg;Owoce;4.42;4.3;4.47;4.86;4.44
2024-W31;2024-08-05;Kurczak filet 1kg;Mięso;25.42;24.73;22.8;26.03;26.51
2024-W31;2024-08-05;Mielone wieprz. 500g;Mięso;15.24;14.39;14.57;16.25;15.3
2024-W31;2024-08-05;Karkówka 1kg;Mięso;27.86;26.12;26.04;30.8;29.49
2024-W31;2024-08-05;Coca-Cola 2L;Napoje;8.51;7.95;7.91;9.37;8.24
2024-W31;2024-08-05;Pepsi 2L;Napoje;8.01;7.21;7.89;8.4;7.91
2024-W31;2024-08-05;Woda Żywiec 1.5L;Napoje;2.51;2.31;2.25;2.73;2.58
2024-W31;2024-08-05;Piwo Tyskie 0.5L;Alkohol;4.07;3.92;3.96;4.5;4.12
2024-W31;2024-08-05;Piwo Lech 0.5L;Alkohol;3.85;3.87;3.6;4.12;3.96
2024-W31;2024-08-05;Wódka Wyborowa 0.5L;Alkohol;32.86;30.18;31.09;35.74;34.45
2024-W31;2024-08-05;Kawa Jacobs 250g;Suche;19.45;18.07;17.55;21.75;20.01
2024-W31;2024-08-05;Cukier biały 1kg;Suche;4.55;4.55;4.29;4.97;4.58
2024-W31;2024-08-05;Mąka pszenna 1kg;Suche;3.46;3.24;3.24;3.9;3.49
2024-W31;2024-08-05;Ryż biały 1kg;Suche;6.69;6.27;6.43;7.76;7.27
2024-W31;2024-08-05;Makaron Lubella 500g;Suche;4.56;4.43;4.51;4.97;4.72
2024-W31;2024-08-05;Olej rzepakowy 1L;Suche;9.17;8.52;8.67;9.97;9.51
2024-W31;2024-08-05;Płatki Nestle 250g;Suche;9.98;10.22;9.47;11.06;10.31
2024-W31;2024-08-05;Czekolada Wedel 100g;Słodycze;5.55;5.46;5.28;6.07;5.61
2024-W31;2024-08-05;Lody Magnum 4-pack;Lody;15.0;14.07;14.27;17.06;15.42
2024-W31;2024-08-05;Pampers 4 26szt;Dziecko;50.27;49.14;48.48;52.98;49.45
2024-W31;2024-08-05;Papier toaletowy 8r;Chemia;15.06;15.21;13.76;17.04;15.64
2024-W31;2024-08-05;Proszek Persil 5kg;Chemia;50.84;50.16;49.12;56.26;52.84
2024-W31;2024-08-05;Karma Whiskas 400g;Zwierzęta;5.59;5.56;5.52;6.21;5.87
2024-W31;2024-08-05;Karma Pedigree 1.2kg;Zwierzęta;12.12;11.4;11.29;13.0;12.13
2024-W32;2024-08-12;Mleko UHT 3.2% 1L;Nabiał;4.56;4.38;4.47;4.82;4.51
2024-W32;2024-08-12;Chleb wiejski 500g;Pieczywo;7.09;6.93;6.66;7.73;7.24
2024-W32;2024-08-12;Jajka L 10szt;Nabiał;9.42;8.6;9.23;10.16;9.8
2024-W32;2024-08-12;Masło ekstra 200g;Nabiał;9.0;8.88;8.84;10.27;9.31
2024-W32;2024-08-12;Banany 1kg;Owoce;5.48;5.2;5.12;5.74;5.91
2024-W32;2024-08-12;Pomidory 1kg;Warzywa;10.18;10.02;9.22;11.29;10.58
2024-W32;2024-08-12;Jabłka Ligol 1kg;Owoce;4.39;4.14;4.09;5.01;4.5
2024-W32;2024-08-12;Kurczak filet 1kg;Mięso;25.0;23.02;23.49;27.11;24.97
2024-W32;2024-08-12;Mielone wieprz. 500g;Mięso;15.33;14.94;15.28;17.37;15.58
2024-W32;2024-08-12;Karkówka 1kg;Mięso;26.83;25.8;25.92;29.18;27.31
2024-W32;2024-08-12;Coca-Cola 2L;Napoje;8.27;8.14;8.11;9.71;8.17
2024-W32;2024-08-12;Pepsi 2L;Napoje;8.04;8.06;7.56;8.66;8.57
2024-W32;2024-08-12;Woda Żywiec 1.5L;Napoje;2.47;2.39;2.27;2.78;2.49
2024-W32;2024-08-12;Piwo Tyskie 0.5L;Alkohol;4.07;4.05;3.96;4.5;4.19
2024-W32;2024-08-12;Piwo Lech 0.5L;Alkohol;3.77;3.79;3.71;3.98;3.83
2024-W32;2024-08-12;Wódka Wyborowa 0.5L;Alkohol;33.58;32.69;29.99;35.89;33.08
2024-W32;2024-08-12;Kawa Jacobs 250g;Suche;19.11;19.0;18.3;21.27;19.93
2024-W32;2024-08-12;Cukier biały 1kg;Suche;4.42;4.01;4.03;5.18;4.63
2024-W32;2024-08-12;Mąka pszenna 1kg;Suche;3.28;3.03;3.16;3.54;3.43
2024-W32;2024-08-12;Ryż biały 1kg;Suche;7.15;7.13;6.89;7.93;7.53
2024-W32;2024-08-12;Makaron Lubella 500g;Suche;4.52;4.46;4.26;5.03;4.47
2024-W32;2024-08-12;Olej rzepakowy 1L;Suche;8.99;8.85;8.51;10.19;8.99
2024-W32;2024-08-12;Płatki Nestle 250g;Suche;9.96;9.24;9.22;10.89;9.94
2024-W32;2024-08-12;Czekolada Wedel 100g;Słodycze;5.63;5.39;5.37;6.58;5.51
2024-W32;2024-08-12;Lody Magnum 4-pack;Lody;15.2;14.6;14.17;16.31;15.76
2024-W32;2024-08-12;Pampers 4 26szt;Dziecko;50.43;48.69;46.74;54.25;53.67
2024-W32;2024-08-12;Papier toaletowy 8r;Chemia;15.23;14.62;14.23;17.19;15.05
2024-W32;2024-08-12;Proszek Persil 5kg;Chemia;49.61;50.19;45.26;57.19;50.77
2024-W32;2024-08-12;Karma Whiskas 400g;Zwierzęta;5.55;5.24;5.21;5.68;5.91
2024-W32;2024-08-12;Karma Pedigree 1.2kg;Zwierzęta;12.08;10.86;12.0;12.73;12.58
2024-W33;2024-08-19;Mleko UHT 3.2% 1L;Nabiał;4.55;4.55;4.64;5.42;4.44
2024-W33;2024-08-19;Chleb wiejski 500g;Pieczywo;6.99;6.63;6.69;8.2;6.86
2024-W33;2024-08-19;Jajka L 10szt;Nabiał;9.41;9.53;8.72;10.77;9.2
2024-W33;2024-08-19;Masło ekstra 200g;Nabiał;9.2;8.94;7.9;10.21;8.9
2024-W33;2024-08-19;Banany 1kg;Owoce;5.52;4.96;4.95;5.96;5.61
2024-W33;2024-08-19;Pomidory 1kg;Warzywa;10.21;10.06;9.62;10.65;10.61
2024-W33;2024-08-19;Jabłka Ligol 1kg;Owoce;4.42;4.19;4.08;4.74;4.49
2024-W33;2024-08-19;Kurczak filet 1kg;Mięso;25.55;24.12;23.45;27.78;25.42
2024-W33;2024-08-19;Mielone wieprz. 500g;Mięso;15.02;14.91;14.25;16.63;15.32
2024-W33;2024-08-19;Karkówka 1kg;Mięso;27.44;25.16;26.24;30.63;27.37
2024-W33;2024-08-19;Coca-Cola 2L;Napoje;8.57;7.96;8.15;9.09;9.0
2024-W33;2024-08-19;Pepsi 2L;Napoje;8.14;7.83;7.76;8.82;8.78
2024-W33;2024-08-19;Woda Żywiec 1.5L;Napoje;2.52;2.48;2.32;2.82;2.62
2024-W33;2024-08-19;Piwo Tyskie 0.5L;Alkohol;3.97;3.78;3.8;4.25;4.12
2024-W33;2024-08-19;Piwo Lech 0.5L;Alkohol;3.74;3.51;3.64;4.12;3.69
2024-W33;2024-08-19;Wódka Wyborowa 0.5L;Alkohol;33.25;33.63;30.97;36.35;35.29
2024-W33;2024-08-19;Kawa Jacobs 250g;Suche;19.21;18.4;17.64;21.92;18.95
2024-W33;2024-08-19;Cukier biały 1kg;Suche;4.46;4.32;4.18;4.74;4.52
2024-W33;2024-08-19;Mąka pszenna 1kg;Suche;3.34;3.28;3.3;3.59;3.25
2024-W33;2024-08-19;Ryż biały 1kg;Suche;7.01;6.69;6.64;7.66;6.93
2024-W33;2024-08-19;Makaron Lubella 500g;Suche;4.55;4.54;4.55;5.04;4.75
2024-W33;2024-08-19;Olej rzepakowy 1L;Suche;9.06;8.56;8.22;9.77;9.28
2024-W33;2024-08-19;Płatki Nestle 250g;Suche;10.06;9.53;9.26;11.61;10.3
2024-W33;2024-08-19;Czekolada Wedel 100g;Słodycze;5.48;5.16;5.33;6.08;5.64
2024-W33;2024-08-19;Lody Magnum 4-pack;Lody;15.09;14.56;14.77;16.97;15.36
2024-W33;2024-08-19;Pampers 4 26szt;Dziecko;49.87;46.15;47.3;55.89;47.68
2024-W33;2024-08-19;Papier toaletowy 8r;Chemia;15.39;13.4;14.68;17.2;14.65
2024-W33;2024-08-19;Proszek Persil 5kg;Chemia;51.95;48.39;46.96;55.09;50.31
2024-W33;2024-08-19;Karma Whiskas 400g;Zwierzęta;5.47;5.35;5.02;6.19;5.48
2024-W33;2024-08-19;Karma Pedigree 1.2kg;Zwierzęta;12.12;11.4;11.12;13.51;12.22
2024-W34;2024-08-26;Mleko UHT 3.2% 1L;Nabiał;4.56;4.16;4.46;5.26;4.37
2024-W34;2024-08-26;Chleb wiejski 500g;Pieczywo;6.98;7.13;6.55;7.61;6.69
2024-W34;2024-08-26;Jajka L 10szt;Nabiał;9.63;8.88;8.63;11.05;9.83
2024-W34;2024-08-26;Masło ekstra 200g;Nabiał;9.12;8.46;8.4;10.05;8.99
2024-W34;2024-08-26;Banany 1kg;Owoce;5.51;5.45;5.66;6.35;5.61
2024-W34;2024-08-26;Pomidory 1kg;Warzywa;10.03;9.63;9.62;11.13;10.24
2024-W34;2024-08-26;Jabłka Ligol 1kg;Owoce;4.33;4.09;4.06;4.86;4.29
2024-W34;2024-08-26;Kurczak filet 1kg;Mięso;25.51;25.25;23.42;27.14;25.4
2024-W34;2024-08-26;Mielone wieprz. 500g;Mięso;15.26;15.19;14.32;18.5;16.17
2024-W34;2024-08-26;Karkówka 1kg;Mięso;27.16;26.25;26.5;30.58;27.11
2024-W34;2024-08-26;Coca-Cola 2L;Napoje;8.58;8.45;8.09;9.6;8.94
2024-W34;2024-08-26;Pepsi 2L;Napoje;8.02;8.23;7.44;9.12;8.35
2024-W34;2024-08-26;Woda Żywiec 1.5L;Napoje;2.52;2.33;2.46;2.68;2.63
2024-W34;2024-08-26;Piwo Tyskie 0.5L;Alkohol;4.01;3.93;3.88;4.16;3.88
2024-W34;2024-08-26;Piwo Lech 0.5L;Alkohol;3.84;3.55;3.73;4.06;3.94
2024-W34;2024-08-26;Wódka Wyborowa 0.5L;Alkohol;34.07;33.09;32.14;39.24;36.55
2024-W34;2024-08-26;Kawa Jacobs 250g;Suche;19.33;18.97;19.42;21.75;19.1
2024-W34;2024-08-26;Cukier biały 1kg;Suche;4.5;4.45;4.21;4.96;4.61
2024-W34;2024-08-26;Mąka pszenna 1kg;Suche;3.45;3.18;3.17;3.85;3.55
2024-W34;2024-08-26;Ryż biały 1kg;Suche;6.9;6.92;6.15;8.05;7.39
2024-W34;2024-08-26;Makaron Lubella 500g;Suche;4.5;4.37;4.19;5.23;4.36
2024-W34;2024-08-26;Olej rzepakowy 1L;Suche;9.1;8.74;8.78;10.81;9.24
2024-W34;2024-08-26;Płatki Nestle 250g;Suche;9.97;9.34;9.1;11.44;11.0
2024-W34;2024-08-26;Czekolada Wedel 100g;Słodycze;5.4;4.94;5.05;5.96;5.42
2024-W34;2024-08-26;Lody Magnum 4-pack;Lody;15.26;14.43;14.73;18.2;15.49
2024-W34;2024-08-26;Pampers 4 26szt;Dziecko;51.22;46.58;49.96;54.41;52.83
2024-W34;2024-08-26;Papier toaletowy 8r;Chemia;15.44;15.24;14.79;17.2;15.87
2024-W34;2024-08-26;Proszek Persil 5kg;Chemia;49.7;50.08;47.66;58.58;52.78
2024-W34;2024-08-26;Karma Whiskas 400g;Zwierzęta;5.43;4.97;5.1;5.72;5.61
2024-W34;2024-08-26;Karma Pedigree 1.2kg;Zwierzęta;11.92;11.33;11.59;11.99;11.91
2024-W35;2024-09-02;Mleko UHT 3.2% 1L;Nabiał;4.49;4.41;4.2;4.72;4.74
2024-W35;2024-09-02;Chleb wiejski 500g;Pieczywo;7.12;7.19;6.46;7.48;7.69
2024-W35;2024-09-02;Jajka L 10szt;Nabiał;9.86;9.67;9.18;10.09;10.18
2024-W35;2024-09-02;Masło ekstra 200g;Nabiał;8.99;8.44;8.64;9.63;9.23
2024-W35;2024-09-02;Banany 1kg;Owoce;5.62;5.3;5.38;6.13;5.63
2024-W35;2024-09-02;Pomidory 1kg;Warzywa;9.89;9.46;9.53;11.61;9.53
2024-W35;2024-09-02;Jabłka Ligol 1kg;Owoce;4.44;4.29;4.11;4.75;4.39
2024-W35;2024-09-02;Kurczak filet 1kg;Mięso;25.9;25.98;23.32;28.0;25.12
2024-W35;2024-09-02;Mielone wieprz. 500g;Mięso;15.06;13.54;14.2;16.16;15.15
2024-W35;2024-09-02;Karkówka 1kg;Mięso;27.06;25.57;25.86;31.13;28.46
2024-W35;2024-09-02;Coca-Cola 2L;Napoje;8.47;7.79;7.8;8.95;8.68
2024-W35;2024-09-02;Pepsi 2L;Napoje;8.13;8.02;7.85;8.76;8.01
2024-W35;2024-09-02;Woda Żywiec 1.5L;Napoje;2.5;2.32;2.4;2.7;2.57
2024-W35;2024-09-02;Piwo Tyskie 0.5L;Alkohol;4.02;3.77;3.7;4.37;4.21
2024-W35;2024-09-02;Piwo Lech 0.5L;Alkohol;3.9;3.91;3.68;4.18;4.01
2024-W35;2024-09-02;Wódka Wyborowa 0.5L;Alkohol;33.24;31.31;30.77;36.45;35.37
2024-W35;2024-09-02;Kawa Jacobs 250g;Suche;18.99;18.82;18.11;21.7;19.22
2024-W35;2024-09-02;Cukier biały 1kg;Suche;4.57;4.55;4.2;5.05;4.49
2024-W35;2024-09-02;Mąka pszenna 1kg;Suche;3.29;3.06;3.18;3.5;3.22
2024-W35;2024-09-02;Ryż biały 1kg;Suche;6.99;6.89;6.98;7.45;7.09
2024-W35;2024-09-02;Makaron Lubella 500g;Suche;4.48;4.61;4.44;5.1;4.54
2024-W35;2024-09-02;Olej rzepakowy 1L;Suche;8.96;8.75;8.21;9.62;9.29
2024-W35;2024-09-02;Płatki Nestle 250g;Suche;10.21;9.59;9.24;10.75;10.62
2024-W35;2024-09-02;Czekolada Wedel 100g;Słodycze;5.45;5.23;5.33;5.91;5.99
2024-W35;2024-09-02;Lody Magnum 4-pack;Lody;15.32;14.23;14.42;18.02;15.45
2024-W35;2024-09-02;Pampers 4 26szt;Dziecko;50.13;48.09;49.72;56.44;49.53
2024-W35;2024-09-02;Papier toaletowy 8r;Chemia;15.48;15.57;14.42;17.05;15.79
2024-W35;2024-09-02;Proszek Persil 5kg;Chemia;50.07;50.15;46.78;52.96;50.28
2024-W35;2024-09-02;Karma Whiskas 400g;Zwierzęta;5.52;4.95;5.42;5.88;5.53
2024-W35;2024-09-02;Karma Pedigree 1.2kg;Zwierzęta;12.31;11.44;11.76;14.1;12.2
2024-W36;2024-09-09;Mleko UHT 3.2% 1L;Nabiał;4.7;4.27;4.73;5.45;4.63
2024-W36;2024-09-09;Chleb wiejski 500g;Pieczywo;6.96;6.96;6.92;7.96;7.27
2024-W36;2024-09-09;Jajka L 10szt;Nabiał;9.57;9.44;8.7;9.94;9.56
2024-W36;2024-09-09;Masło ekstra 200g;Nabiał;9.1;9.14;8.28;9.78;9.13
2024-W36;2024-09-09;Banany 1kg;Owoce;5.58;5.3;5.28;6.21;5.65
2024-W36;2024-09-09;Pomidory 1kg;Warzywa;10.12;10.0;9.72;11.26;9.9
2024-W36;2024-09-09;Jabłka Ligol 1kg;Owoce;4.38;4.28;4.18;4.79;4.48
2024-W36;2024-09-09;Kurczak filet 1kg;Mięso;25.4;24.92;24.09;26.89;25.26
2024-W36;2024-09-09;Mielone wieprz. 500g;Mięso;15.06;14.75;14.64;17.5;15.47
2024-W36;2024-09-09;Karkówka 1kg;Mięso;27.34;25.22;25.7;32.21;27.86
2024-W36;2024-09-09;Coca-Cola 2L;Napoje;8.66;8.35;7.99;9.12;8.55
2024-W36;2024-09-09;Pepsi 2L;Napoje;8.03;7.75;7.41;8.48;8.17
2024-W36;2024-09-09;Woda Żywiec 1.5L;Napoje;2.57;2.4;2.41;2.92;2.58
2024-W36;2024-09-09;Piwo Tyskie 0.5L;Alkohol;4.13;4.08;3.88;4.62;4.1
2024-W36;2024-09-09;Piwo Lech 0.5L;Alkohol;3.89;3.71;3.57;4.19;4.01
2024-W36;2024-09-09;Wódka Wyborowa 0.5L;Alkohol;32.77;30.71;30.65;34.19;33.97
2024-W36;2024-09-09;Kawa Jacobs 250g;Suche;19.45;18.04;17.99;21.24;20.21
2024-W36;2024-09-09;Cukier biały 1kg;Suche;4.49;4.32;4.31;4.86;4.52
2024-W36;2024-09-09;Mąka pszenna 1kg;Suche;3.25;3.05;3.24;3.62;3.31
2024-W36;2024-09-09;Ryż biały 1kg;Suche;7.03;6.62;7.14;7.43;6.87
2024-W36;2024-09-09;Makaron Lubella 500g;Suche;4.48;4.41;4.28;5.15;4.64
2024-W36;2024-09-09;Olej rzepakowy 1L;Suche;9.09;8.67;8.48;9.84;9.69
2024-W36;2024-09-09;Płatki Nestle 250g;Suche;10.1;9.94;10.01;11.27;9.93
2024-W36;2024-09-09;Czekolada Wedel 100g;Słodycze;5.6;5.38;5.35;6.3;5.74
2024-W36;2024-09-09;Lody Magnum 4-pack;Lody;14.72;14.18;13.92;16.68;15.24
2024-W36;2024-09-09;Pampers 4 26szt;Dziecko;51.41;50.92;48.38;56.08;53.91
2024-W36;2024-09-09;Papier toaletowy 8r;Chemia;14.54;14.33;14.08;17.1;14.63
2024-W36;2024-09-09;Proszek Persil 5kg;Chemia;50.51;48.1;48.44;56.76;51.92
2024-W36;2024-09-09;Karma Whiskas 400g;Zwierzęta;5.54;5.42;5.62;5.9;5.68
2024-W36;2024-09-09;Karma Pedigree 1.2kg;Zwierzęta;12.27;12.06;11.68;13.49;12.87
2024-W37;2024-09-16;Mleko UHT 3.2% 1L;Nabiał;4.45;4.21;3.9;5.01;4.45
2024-W37;2024-09-16;Chleb wiejski 500g;Pieczywo;7.0;7.24;6.84;8.25;7.24
2024-W37;2024-09-16;Jajka L 10szt;Nabiał;9.73;9.48;9.71;10.72;9.91
2024-W37;2024-09-16;Masło ekstra 200g;Nabiał;9.13;8.08;9.28;10.37;9.44
2024-W37;2024-09-16;Banany 1kg;Owoce;5.59;5.45;5.31;5.82;5.7
2024-W37;2024-09-16;Pomidory 1kg;Warzywa;10.2;9.69;9.48;11.3;10.11
2024-W37;2024-09-16;Jabłka Ligol 1kg;Owoce;4.38;4.26;4.24;4.59;4.58
2024-W37;2024-09-16;Kurczak filet 1kg;Mięso;25.17;24.23;23.13;26.2;24.76
2024-W37;2024-09-16;Mielone wieprz. 500g;Mięso;15.19;15.34;14.83;17.18;16.16
2024-W37;2024-09-16;Karkówka 1kg;Mięso;27.42;26.74;26.43;28.93;28.39
2024-W37;2024-09-16;Coca-Cola 2L;Napoje;8.63;8.59;8.14;9.91;8.65
2024-W37;2024-09-16;Pepsi 2L;Napoje;8.16;7.9;7.73;8.61;8.31
2024-W37;2024-09-16;Woda Żywiec 1.5L;Napoje;2.52;2.45;2.34;2.88;2.55
2024-W37;2024-09-16;Piwo Tyskie 0.5L;Alkohol;4.18;4.19;4.17;4.56;4.28
2024-W37;2024-09-16;Piwo Lech 0.5L;Alkohol;3.69;3.63;3.33;3.91;4.01
2024-W37;2024-09-16;Wódka Wyborowa 0.5L;Alkohol;34.51;32.68;33.43;36.71;34.23
2024-W37;2024-09-16;Kawa Jacobs 250g;Suche;19.65;18.77;18.62;20.72;20.28
2024-W37;2024-09-16;Cukier biały 1kg;Suche;4.54;4.42;4.47;5.23;4.74
2024-W37;2024-09-16;Mąka pszenna 1kg;Suche;3.29;3.08;3.08;3.68;3.34
2024-W37;2024-09-16;Ryż biały 1kg;Suche;6.98;6.85;6.51;7.86;7.14
2024-W37;2024-09-16;Makaron Lubella 500g;Suche;4.6;4.32;4.23;5.2;4.59
2024-W37;2024-09-16;Olej rzepakowy 1L;Suche;8.85;8.93;8.3;10.11;9.16
2024-W37;2024-09-16;Płatki Nestle 250g;Suche;10.11;9.92;9.49;11.0;11.15
