Data;ID sklepu;Miasto;Kategoria;SKU;Wartość waste (PLN);Powód
2024-06-11;PLN-136;Jelenia Góra;Ryby i mrożonki;Krewetki świeże;405.92;Przeterminowanie (nie udało się sprzedać)
2024-06-12;PLN-016;Warszawa;Pieczywo;Bagietka;53.38;Przeterminowanie (nie udało się sprzedać)
2024-06-12;PLN-055;Poznań;Nabiał i jaja;Śmietana;363.68;Przeterminowanie (nie udało się sprzedać)
2024-06-12;PLN-022;Warszawa;Ryby i mrożonki;Łosoś świeży;15.47;Przeterminowanie (nie udało się sprzedać)
2024-06-12;PLN-077;Łódź;Nabiał i jaja;Mleko świeże;71.79;Łańcuch chłodniczy — błąd
2024-06-12;PLN-091;Lublin;Nabiał i jaja;Twaróg;67.01;Przeterminowanie (nie udało się sprzedać)
2024-06-12;PLN-124;Leszno;Nabiał i jaja;Ser pleśniowy;76.21;Uszkodzenie mechaniczne
2024-06-12;PLN-111;Kalisz;Mięso i wędliny;Mielone wieprzowo-wołowe;28.63;Przeterminowanie (nie udało się sprzedać)
2024-06-13;PLN-135;Wałbrzych;Pieczywo;Bagietka;31.25;Uszkodzenie mechaniczne
2024-06-13;PLN-071;Poznań;Ryby i mrożonki;Łosoś świeży;135.47;Przeterminowanie (nie udało się sprzedać)
2024-06-13;PLN-117;Płock;Pieczywo;Bułki kajzerki;20.52;Przeterminowanie (nie udało się sprzedać)
2024-06-13;PLN-077;Łódź;Ryby i mrożonki;Łosoś świeży;113.57;Przeterminowanie (nie udało się sprzedać)
2024-06-13;PLN-047;Wrocław;Nabiał i jaja;Twaróg;58.59;Przeterminowanie (nie udało się sprzedać)
2024-06-13;PLN-057;Poznań;Nabiał i jaja;Mleko świeże;155.57;Błąd zatowarowania (nadmiar)
2024-06-13;PLN-065;Poznań;Nabiał i jaja;Mleko świeże;90.46;Przeterminowanie (nie udało się sprzedać)
2024-06-13;PLN-011;Warszawa;Mięso i wędliny;Kurczak filet;95.2;Przeterminowanie (nie udało się sprzedać)
2024-06-13;PLN-081;Łódź;Pieczywo;Tort biszkoptowy;50.07;Przeterminowanie (nie udało się sprzedać)
2024-06-14;PLN-028;Kraków;Pieczywo;Bagietka;81.21;Przeterminowanie (nie udało się sprzedać)
2024-06-14;PLN-136;Jelenia Góra;Pieczywo;Bagietka;119.34;Przeterminowanie (nie udało się sprzedać)
2024-06-14;PLN-023;Warszawa;Nabiał i jaja;Ser pleśniowy;5.12;Błąd zatowarowania (nadmiar)
2024-06-14;PLN-062;Poznań;Ryby i mrożonki;Łosoś świeży;79.79;Przeterminowanie (nie udało się sprzedać)
2024-06-14;PLN-015;Warszawa;Pieczywo;Bagietka;17.05;Uszkodzenie mechaniczne
2024-06-15;PLN-053;Wrocław;Mięso i wędliny;Wieprzowina łopatka;76.31;Przeterminowanie (nie udało się sprzedać)
2024-06-15;PLN-061;Poznań;Warzywa i owoce;Borówki;118.93;Przeterminowanie (nie udało się sprzedać)
2024-06-15;PLN-072;Poznań;Nabiał i jaja;Jogurt naturalny;108.66;Przeterminowanie (nie udało się sprzedać)
2024-06-15;PLN-074;Łódź;Warzywa i owoce;Sałata lodowa;61.67;Uszkodzenie mechaniczne
2024-06-15;PLN-005;Warszawa;Nabiał i jaja;Jogurt naturalny;33.8;Przeterminowanie (nie udało się sprzedać)
2024-06-16;PLN-033;Kraków;Pieczywo;Bagietka;269.7;Przeterminowanie (nie udało się sprzedać)
2024-06-16;PLN-014;Warszawa;Pieczywo;Bagietka;45.56;Przeterminowanie (nie udało się sprzedać)
2024-06-16;PLN-074;Łódź;Nabiał i jaja;Jogurt naturalny;128.9;Przeterminowanie (nie udało się sprzedać)
2024-06-16;PLN-019;Warszawa;Pieczywo;Tort biszkoptowy;182.26;Uszkodzenie mechaniczne
2024-06-16;PLN-100;Katowice;Pieczywo;Bagietka;65.85;Przeterminowanie (nie udało się sprzedać)
2024-06-16;PLN-075;Łódź;Nabiał i jaja;Śmietana;35.8;Błąd zatowarowania (nadmiar)
2024-06-16;PLN-102;Katowice;Pieczywo;Tort biszkoptowy;8.48;Przeterminowanie (nie udało się sprzedać)
2024-06-17;PLN-139;Radom;Mięso i wędliny;Wędliny krojone;7.32;Przeterminowanie (nie udało się sprzedać)
2024-06-17;PLN-112;Kalisz;Ryby i mrożonki;Pstrąg;20.26;Przeterminowanie (nie udało się sprzedać)
2024-06-17;PLN-132;Legnica;Warzywa i owoce;Banany dojrzałe;270.46;Uszkodzenie mechaniczne
2024-06-17;PLN-133;Legnica;Nabiał i jaja;Jogurt naturalny;65.4;Reklamacja jakościowa od klienta
2024-06-17;PLN-106;Częstochowa;Pieczywo;Bagietka;41.77;Przeterminowanie (nie udało się sprzedać)
2024-06-18;PLN-106;Częstochowa;Ryby i mrożonki;Łosoś świeży;27.65;Uszkodzenie mechaniczne
2024-06-18;PLN-104;Toruń;Ryby i mrożonki;Krewetki świeże;140.2;Uszkodzenie mechaniczne
2024-06-18;PLN-101;Katowice;Ryby i mrożonki;Pstrąg;16.55;Błąd zatowarowania (nadmiar)
2024-06-18;PLN-127;Tarnów;Warzywa i owoce;Truskawki;689.87;Łańcuch chłodniczy — błąd
2024-06-18;PLN-101;Katowice;Mięso i wędliny;Wieprzowina łopatka;106.22;Błąd zatowarowania (nadmiar)
2024-06-18;PLN-012;Warszawa;Pieczywo;Tort biszkoptowy;82.87;Przeterminowanie (nie udało się sprzedać)
2024-06-18;PLN-085;Gdańsk;Nabiał i jaja;Mleko świeże;175.14;Przeterminowanie (nie udało się sprzedać)
2024-06-19;PLN-048;Wrocław;Ryby i mrożonki;Łosoś świeży;18.71;Przeterminowanie (nie udało się sprzedać)
2024-06-19;PLN-004;Warszawa;Ryby i mrożonki;Pstrąg;212.71;Przeterminowanie (nie udało się sprzedać)
2024-06-19;PLN-139;Radom;Mięso i wędliny;Wędliny krojone;96.88;Przeterminowanie (nie udało się sprzedać)
2024-06-19;PLN-102;Katowice;Nabiał i jaja;Mleko świeże;244.3;Przeterminowanie (nie udało się sprzedać)
2024-06-19;PLN-102;Katowice;Mięso i wędliny;Wędliny krojone;179.01;Łańcuch chłodniczy — błąd
2024-06-19;PLN-014;Warszawa;Nabiał i jaja;Mleko świeże;95.11;Przeterminowanie (nie udało się sprzedać)
2024-06-20;PLN-008;Warszawa;Ryby i mrożonki;Łosoś świeży;294.22;Błąd zatowarowania (nadmiar)
2024-06-20;PLN-129;Nowy Sącz;Pieczywo;Chleb wiejski;41.23;Przeterminowanie (nie udało się sprzedać)
2024-06-20;PLN-032;Kraków;Warzywa i owoce;Banany dojrzałe;371.4;Przeterminowanie (nie udało się sprzedać)
2024-06-21;PLN-049;Wrocław;Warzywa i owoce;Truskawki;29.94;Przeterminowanie (nie udało się sprzedać)
2024-06-21;PLN-119;Gniezno;Ryby i mrożonki;Łosoś świeży;220.41;Przeterminowanie (nie udało się sprzedać)
2024-06-21;PLN-092;Lublin;Pieczywo;Bagietka;41.77;Przeterminowanie (nie udało się sprzedać)
2024-06-22;PLN-075;Łódź;Pieczywo;Bagietka;480.69;Przeterminowanie (nie udało się sprzedać)
2024-06-22;PLN-098;Szczecin;Nabiał i jaja;Mleko świeże;110.32;Uszkodzenie mechaniczne
2024-06-22;PLN-069;Poznań;Mięso i wędliny;Kurczak filet;35.34;Przeterminowanie (nie udało się sprzedać)
2024-06-22;PLN-017;Warszawa;Mięso i wędliny;Wieprzowina łopatka;255.99;Przeterminowanie (nie udało się sprzedać)
2024-06-22;PLN-027;Kraków;Nabiał i jaja;Ser pleśniowy;258.17;Przeterminowanie (nie udało się sprzedać)
2024-06-23;PLN-004;Warszawa;Mięso i wędliny;Wędliny krojone;203.67;Uszkodzenie mechaniczne
2024-06-23;PLN-072;Poznań;Mięso i wędliny;Wędliny krojone;272.61;Przeterminowanie (nie udało się sprzedać)
2024-06-23;PLN-137;Jelenia Góra;Warzywa i owoce;Banany dojrzałe;105.61;Uszkodzenie mechaniczne
2024-06-24;PLN-034;Kraków;Pieczywo;Chleb wiejski;22.32;Przeterminowanie (nie udało się sprzedać)
2024-06-24;PLN-043;Wrocław;Pieczywo;Bagietka;130.23;Przeterminowanie (nie udało się sprzedać)
2024-06-24;PLN-091;Lublin;Nabiał i jaja;Ser pleśniowy;251.15;Przeterminowanie (nie udało się sprzedać)
2024-06-24;PLN-123;Leszno;Warzywa i owoce;Sałata lodowa;26.74;Przeterminowanie (nie udało się sprzedać)
2024-06-24;PLN-072;Poznań;Mięso i wędliny;Mielone wieprzowo-wołowe;80.73;Uszkodzenie mechaniczne
2024-06-24;PLN-080;Łódź;Mięso i wędliny;Karkówka;53.45;Łańcuch chłodniczy — błąd
2024-06-24;PLN-030;Kraków;Nabiał i jaja;Jogurt naturalny;248.96;Reklamacja jakościowa od klienta
2024-06-24;PLN-015;Warszawa;Ryby i mrożonki;Krewetki świeże;58.08;Przeterminowanie (nie udało się sprzedać)
2024-06-25;PLN-075;Łódź;Nabiał i jaja;Ser pleśniowy;51.78;Przeterminowanie (nie udało się sprzedać)
2024-06-25;PLN-070;Poznań;Nabiał i jaja;Śmietana;102.48;Błąd zatowarowania (nadmiar)
2024-06-25;PLN-089;Gdańsk;Ryby i mrożonki;Pstrąg;43.03;Błąd zatowarowania (nadmiar)
2024-06-25;PLN-068;Poznań;Pieczywo;Bagietka;37.19;Przeterminowanie (nie udało się sprzedać)
2024-06-25;PLN-022;Warszawa;Nabiał i jaja;Mleko świeże;59.21;Uszkodzenie mechaniczne
2024-06-26;PLN-043;Wrocław;Ryby i mrożonki;Krewetki świeże;511.64;Łańcuch chłodniczy — błąd
2024-06-26;PLN-103;Toruń;Nabiał i jaja;Mleko świeże;60.2;Błąd zatowarowania (nadmiar)
2024-06-26;PLN-118;Gniezno;Ryby i mrożonki;Pstrąg;91.55;Przeterminowanie (nie udało się sprzedać)
2024-06-26;PLN-047;Wrocław;Ryby i mrożonki;Pstrąg;84.55;Przeterminowanie (nie udało się sprzedać)
2024-06-26;PLN-075;Łódź;Ryby i mrożonki;Krewetki świeże;379.7;Przeterminowanie (nie udało się sprzedać)
2024-06-27;PLN-127;Tarnów;Pieczywo;Bułki kajzerki;18.44;Przeterminowanie (nie udało się sprzedać)
2024-06-27;PLN-008;Warszawa;Ryby i mrożonki;Krewetki świeże;58.47;Przeterminowanie (nie udało się sprzedać)
2024-06-27;PLN-032;Kraków;Pieczywo;Bagietka;178.55;Przeterminowanie (nie udało się sprzedać)
2024-06-28;PLN-050;Wrocław;Nabiał i jaja;Mleko świeże;141.82;Przeterminowanie (nie udało się sprzedać)
2024-06-28;PLN-017;Warszawa;Ryby i mrożonki;Pstrąg;280.46;Łańcuch chłodniczy — błąd
2024-06-28;PLN-042;Wrocław;Pieczywo;Bagietka;106.44;Przeterminowanie (nie udało się sprzedać)
2024-06-28;PLN-135;Wałbrzych;Nabiał i jaja;Twaróg;251.4;Błąd zatowarowania (nadmiar)
2024-06-28;PLN-133;Legnica;Mięso i wędliny;Schab;256.69;Błąd zatowarowania (nadmiar)
2024-06-29;PLN-127;Tarnów;Nabiał i jaja;Twaróg;17.93;Reklamacja jakościowa od klienta
2024-06-29;PLN-064;Poznań;Nabiał i jaja;Twaróg;145.54;Błąd zatowarowania (nadmiar)
2024-06-29;PLN-046;Wrocław;Ryby i mrożonki;Pstrąg;45.56;Przeterminowanie (nie udało się sprzedać)
2024-06-29;PLN-062;Poznań;Nabiał i jaja;Mleko świeże;247.15;Przeterminowanie (nie udało się sprzedać)
2024-06-29;PLN-083;Łódź;Mięso i wędliny;Mielone wieprzowo-wołowe;55.29;Przeterminowanie (nie udało się sprzedać)
2024-06-29;PLN-130;Nowy Sącz;Mięso i wędliny;Mielone wieprzowo-wołowe;37.56;Uszkodzenie mechaniczne
2024-06-30;PLN-075;Łódź;Pieczywo;Tort biszkoptowy;66.72;Przeterminowanie (nie udało się sprzedać)
2024-06-30;PLN-121;Konin;Pieczywo;Chleb wiejski;56.08;Przeterminowanie (nie udało się sprzedać)
2024-06-30;PLN-039;Kraków;Mięso i wędliny;Karkówka;62.5;Przeterminowanie (nie udało się sprzedać)
2024-06-30;PLN-030;Kraków;Ryby i mrożonki;Pstrąg;27.8;Łańcuch chłodniczy — błąd
2024-07-01;PLN-100;Katowice;Pieczywo;Chleb wiejski;312.53;Przeterminowanie (nie udało się sprzedać)
2024-07-01;PLN-082;Łódź;Nabiał i jaja;Twaróg;110.5;Przeterminowanie (nie udało się sprzedać)
2024-07-01;PLN-052;Wrocław;Warzywa i owoce;Maliny;87.01;Przeterminowanie (nie udało się sprzedać)
2024-07-01;PLN-047;Wrocław;Ryby i mrożonki;Łosoś świeży;312.31;Łańcuch chłodniczy — błąd
2024-07-01;PLN-041;Wrocław;Warzywa i owoce;Maliny;59.81;Przeterminowanie (nie udało się sprzedać)
2024-07-01;PLN-014;Warszawa;Warzywa i owoce;Sałata lodowa;49.87;Uszkodzenie mechaniczne
2024-07-01;PLN-031;Kraków;Warzywa i owoce;Pomidory koktajl;144.84;Reklamacja jakościowa od klienta
2024-07-01;PLN-129;Nowy Sącz;Ryby i mrożonki;Krewetki świeże;34.31;Przeterminowanie (nie udało się sprzedać)
2024-07-02;PLN-030;Kraków;Ryby i mrożonki;Pstrąg;235.74;Przeterminowanie (nie udało się sprzedać)
2024-07-02;PLN-058;Poznań;Pieczywo;Chleb wiejski;5.15;Przeterminowanie (nie udało się sprzedać)
2024-07-02;PLN-087;Gdańsk;Pieczywo;Bułki kajzerki;175.19;Przeterminowanie (nie udało się sprzedać)
2024-07-02;PLN-053;Wrocław;Ryby i mrożonki;Krewetki świeże;47.33;Przeterminowanie (nie udało się sprzedać)
2024-07-02;PLN-126;Tarnów;Pieczywo;Bułki kajzerki;10.7;Uszkodzenie mechaniczne
2024-07-02;PLN-048;Wrocław;Mięso i wędliny;Karkówka;45.63;Błąd zatowarowania (nadmiar)
2024-07-02;PLN-114;Kalisz;Nabiał i jaja;Jogurt naturalny;5.15;Błąd zatowarowania (nadmiar)
2024-07-03;PLN-063;Poznań;Mięso i wędliny;Kurczak filet;231.36;Błąd zatowarowania (nadmiar)
2024-07-03;PLN-029;Kraków;Pieczywo;Chleb wiejski;122.42;Przeterminowanie (nie udało się sprzedać)
2024-07-03;PLN-124;Leszno;Pieczywo;Chleb wiejski;52.29;Łańcuch chłodniczy — błąd
2024-07-03;PLN-121;Konin;Ryby i mrożonki;Krewetki świeże;145.6;Przeterminowanie (nie udało się sprzedać)
2024-07-03;PLN-093;Lublin;Warzywa i owoce;Banany dojrzałe;105.02;Łańcuch chłodniczy — błąd
2024-07-03;PLN-084;Gdańsk;Mięso i wędliny;Kurczak filet;53.04;Przeterminowanie (nie udało się sprzedać)
2024-07-03;PLN-022;Warszawa;Mięso i wędliny;Schab;124.73;Przeterminowanie (nie udało się sprzedać)
2024-07-03;PLN-074;Łódź;Warzywa i owoce;Pomidory koktajl;173.42;Uszkodzenie mechaniczne
2024-07-04;PLN-005;Warszawa;Mięso i wędliny;Wędliny krojone;59.95;Przeterminowanie (nie udało się sprzedać)
2024-07-04;PLN-124;Leszno;Mięso i wędliny;Kurczak filet;297.97;Przeterminowanie (nie udało się sprzedać)
2024-07-04;PLN-029;Kraków;Nabiał i jaja;Ser pleśniowy;193.43;Przeterminowanie (nie udało się sprzedać)
2024-07-04;PLN-092;Lublin;Mięso i wędliny;Boczek;31.45;Przeterminowanie (nie udało się sprzedać)
2024-07-04;PLN-087;Gdańsk;Ryby i mrożonki;Łosoś świeży;72.08;Przeterminowanie (nie udało się sprzedać)
2024-07-04;PLN-134;Wałbrzych;Warzywa i owoce;Maliny;21.08;Przeterminowanie (nie udało się sprzedać)
2024-07-05;PLN-097;Szczecin;Ryby i mrożonki;Krewetki świeże;243.87;Przeterminowanie (nie udało się sprzedać)
2024-07-05;PLN-048;Wrocław;Nabiał i jaja;Śmietana;156.5;Przeterminowanie (nie udało się sprzedać)
2024-07-05;PLN-019;Warszawa;Ryby i mrożonki;Łosoś świeży;82.21;Błąd zatowarowania (nadmiar)
2024-07-05;PLN-100;Katowice;Pieczywo;Chleb wiejski;202.45;Przeterminowanie (nie udało się sprzedać)
2024-07-05;PLN-104;Toruń;Pieczywo;Bagietka;24.22;Przeterminowanie (nie udało się sprzedać)
2024-07-06;PLN-132;Legnica;Nabiał i jaja;Twaróg;172.44;Przeterminowanie (nie udało się sprzedać)
2024-07-06;PLN-119;Gniezno;Pieczywo;Tort biszkoptowy;115.16;Łańcuch chłodniczy — błąd
2024-07-06;PLN-020;Warszawa;Mięso i wędliny;Schab;306.17;Przeterminowanie (nie udało się sprzedać)
2024-07-06;PLN-022;Warszawa;Nabiał i jaja;Ser pleśniowy;14.69;Przeterminowanie (nie udało się sprzedać)
2024-07-07;PLN-050;Wrocław;Pieczywo;Bułki kajzerki;156.01;Błąd zatowarowania (nadmiar)
2024-07-07;PLN-039;Kraków;Pieczywo;Chleb wiejski;54.71;Łańcuch chłodniczy — błąd
2024-07-07;PLN-085;Gdańsk;Pieczywo;Bagietka;97.24;Przeterminowanie (nie udało się sprzedać)
2024-07-07;PLN-095;Bydgoszcz;Mięso i wędliny;Boczek;7.8;Błąd zatowarowania (nadmiar)
2024-07-07;PLN-107;Częstochowa;Warzywa i owoce;Mango;72.38;Błąd zatowarowania (nadmiar)
2024-07-07;PLN-039;Kraków;Warzywa i owoce;Banany dojrzałe;40.72;Przeterminowanie (nie udało się sprzedać)
2024-07-08;PLN-115;Płock;Ryby i mrożonki;Łosoś świeży;66.17;Przeterminowanie (nie udało się sprzedać)
2024-07-08;PLN-132;Legnica;Mięso i wędliny;Karkówka;21.52;Przeterminowanie (nie udało się sprzedać)
2024-07-08;PLN-132;Legnica;Nabiał i jaja;Jogurt naturalny;450.84;Łańcuch chłodniczy — błąd
2024-07-08;PLN-053;Wrocław;Mięso i wędliny;Boczek;65.0;Uszkodzenie mechaniczne
2024-07-08;PLN-106;Częstochowa;Nabiał i jaja;Śmietana;85.78;Przeterminowanie (nie udało się sprzedać)
2024-07-08;PLN-072;Poznań;Mięso i wędliny;Wędliny krojone;243.82;Przeterminowanie (nie udało się sprzedać)
2024-07-08;PLN-058;Poznań;Warzywa i owoce;Sałata lodowa;332.04;Łańcuch chłodniczy — błąd
2024-07-08;PLN-051;Wrocław;Warzywa i owoce;Awokado;183.49;Uszkodzenie mechaniczne
2024-07-09;PLN-024;Warszawa;Ryby i mrożonki;Krewetki świeże;49.89;Przeterminowanie (nie udało się sprzedać)
2024-07-09;PLN-136;Jelenia Góra;Warzywa i owoce;Mango;397.28;Przeterminowanie (nie udało się sprzedać)
2024-07-09;PLN-107;Częstochowa;Warzywa i owoce;Mango;29.22;Przeterminowanie (nie udało się sprzedać)
2024-07-09;PLN-051;Wrocław;Ryby i mrożonki;Łosoś świeży;50.22;Uszkodzenie mechaniczne
2024-07-09;PLN-092;Lublin;Mięso i wędliny;Wędliny krojone;5.5;Przeterminowanie (nie udało się sprzedać)
2024-07-09;PLN-061;Poznań;Warzywa i owoce;Maliny;335.28;Przeterminowanie (nie udało się sprzedać)
2024-07-10;PLN-126;Tarnów;Mięso i wędliny;Kurczak filet;129.17;Reklamacja jakościowa od klienta
2024-07-10;PLN-001;Warszawa;Mięso i wędliny;Boczek;5.15;Przeterminowanie (nie udało się sprzedać)
2024-07-10;PLN-104;Toruń;Mięso i wędliny;Schab;394.41;Łańcuch chłodniczy — błąd
2024-07-10;PLN-134;Wałbrzych;Mięso i wędliny;Kurczak filet;40.95;Uszkodzenie mechaniczne
2024-07-11;PLN-135;Wałbrzych;Mięso i wędliny;Wędliny krojone;272.2;Przeterminowanie (nie udało się sprzedać)
2024-07-11;PLN-111;Kalisz;Mięso i wędliny;Schab;27.93;Przeterminowanie (nie udało się sprzedać)
2024-07-11;PLN-027;Kraków;Nabiał i jaja;Ser pleśniowy;77.78;Przeterminowanie (nie udało się sprzedać)
2024-07-11;PLN-090;Lublin;Warzywa i owoce;Borówki;93.19;Uszkodzenie mechaniczne
2024-07-11;PLN-084;Gdańsk;Ryby i mrożonki;Pstrąg;157.33;Przeterminowanie (nie udało się sprzedać)
2024-07-11;PLN-023;Warszawa;Warzywa i owoce;Borówki;11.7;Przeterminowanie (nie udało się sprzedać)
2024-07-12;PLN-014;Warszawa;Nabiał i jaja;Mleko świeże;74.68;Uszkodzenie mechaniczne
2024-07-12;PLN-022;Warszawa;Ryby i mrożonki;Łosoś świeży;444.15;Przeterminowanie (nie udało się sprzedać)
2024-07-12;PLN-104;Toruń;Warzywa i owoce;Borówki;155.57;Przeterminowanie (nie udało się sprzedać)
2024-07-12;PLN-042;Wrocław;Pieczywo;Bułki kajzerki;120.09;Łańcuch chłodniczy — błąd
2024-07-13;PLN-108;Częstochowa;Mięso i wędliny;Mielone wieprzowo-wołowe;19.76;Uszkodzenie mechaniczne
2024-07-13;PLN-039;Kraków;Nabiał i jaja;Śmietana;45.65;Przeterminowanie (nie udało się sprzedać)
2024-07-13;PLN-028;Kraków;Warzywa i owoce;Maliny;168.51;Przeterminowanie (nie udało się sprzedać)
2024-07-14;PLN-073;Łódź;Nabiał i jaja;Mleko świeże;11.17;Błąd zatowarowania (nadmiar)
2024-07-14;PLN-029;Kraków;Warzywa i owoce;Sałata lodowa;56.53;Przeterminowanie (nie udało się sprzedać)
2024-07-14;PLN-091;Lublin;Mięso i wędliny;Mielone wieprzowo-wołowe;23.97;Przeterminowanie (nie udało się sprzedać)
2024-07-14;PLN-102;Katowice;Nabiał i jaja;Mleko świeże;23.61;Przeterminowanie (nie udało się sprzedać)
2024-07-16;PLN-002;Warszawa;Warzywa i owoce;Borówki;237.51;Przeterminowanie (nie udało się sprzedać)
2024-07-16;PLN-017;Warszawa;Warzywa i owoce;Truskawki;163.11;Przeterminowanie (nie udało się sprzedać)
2024-07-16;PLN-014;Warszawa;Mięso i wędliny;Mielone wieprzowo-wołowe;652.08;Błąd zatowarowania (nadmiar)
2024-07-17;PLN-046;Wrocław;Ryby i mrożonki;Łosoś świeży;14.29;Błąd zatowarowania (nadmiar)
2024-07-17;PLN-100;Katowice;Nabiał i jaja;Ser pleśniowy;27.8;Przeterminowanie (nie udało się sprzedać)
2024-07-17;PLN-050;Wrocław;Ryby i mrożonki;Krewetki świeże;146.69;Przeterminowanie (nie udało się sprzedać)
2024-07-17;PLN-138;Radom;Nabiał i jaja;Śmietana;10.83;Łańcuch chłodniczy — błąd
2024-07-17;PLN-135;Wałbrzych;Nabiał i jaja;Ser pleśniowy;55.58;Błąd zatowarowania (nadmiar)
2024-07-17;PLN-117;Płock;Warzywa i owoce;Truskawki;251.38;Uszkodzenie mechaniczne
2024-07-18;PLN-102;Katowice;Ryby i mrożonki;Łosoś świeży;19.92;Przeterminowanie (nie udało się sprzedać)
2024-07-18;PLN-042;Wrocław;Pieczywo;Chleb wiejski;5.15;Przeterminowanie (nie udało się sprzedać)
2024-07-18;PLN-031;Kraków;Warzywa i owoce;Sałata lodowa;78.75;Reklamacja jakościowa od klienta
2024-07-18;PLN-029;Kraków;Warzywa i owoce;Truskawki;10.11;Przeterminowanie (nie udało się sprzedać)
2024-07-18;PLN-052;Wrocław;Pieczywo;Tort biszkoptowy;157.67;Błąd zatowarowania (nadmiar)
2024-07-19;PLN-109;Opole;Mięso i wędliny;Kurczak filet;98.84;Przeterminowanie (nie udało się sprzedać)
2024-07-20;PLN-116;Płock;Pieczywo;Bułki kajzerki;109.94;Uszkodzenie mechaniczne
2024-07-20;PLN-089;Gdańsk;Nabiał i jaja;Twaróg;15.86;Błąd zatowarowania (nadmiar)
2024-07-20;PLN-030;Kraków;Mięso i wędliny;Wędliny krojone;40.43;Błąd zatowarowania (nadmiar)
2024-07-20;PLN-135;Wałbrzych;Nabiał i jaja;Jogurt naturalny;36.14;Błąd zatowarowania (nadmiar)
2024-07-20;PLN-023;Warszawa;Nabiał i jaja;Jogurt naturalny;185.75;Przeterminowanie (nie udało się sprzedać)
2024-07-21;PLN-011;Warszawa;Mięso i wędliny;Boczek;70.96;Przeterminowanie (nie udało się sprzedać)
2024-07-21;PLN-022;Warszawa;Warzywa i owoce;Truskawki;260.74;Uszkodzenie mechaniczne
2024-07-21;PLN-117;Płock;Pieczywo;Tort biszkoptowy;125.99;Łańcuch chłodniczy — błąd
2024-07-21;PLN-116;Płock;Mięso i wędliny;Mielone wieprzowo-wołowe;400.66;Uszkodzenie mechaniczne
2024-07-22;PLN-041;Wrocław;Warzywa i owoce;Awokado;38.19;Uszkodzenie mechaniczne
2024-07-22;PLN-075;Łódź;Ryby i mrożonki;Krewetki świeże;5.51;Reklamacja jakościowa od klienta
2024-07-22;PLN-060;Poznań;Nabiał i jaja;Twaróg;273.86;Łańcuch chłodniczy — błąd
2024-07-22;PLN-128;Nowy Sącz;Warzywa i owoce;Borówki;47.74;Błąd zatowarowania (nadmiar)
2024-07-22;PLN-018;Warszawa;Mięso i wędliny;Mielone wieprzowo-wołowe;72.82;Błąd zatowarowania (nadmiar)
2024-07-22;PLN-112;Kalisz;Warzywa i owoce;Truskawki;102.76;Przeterminowanie (nie udało się sprzedać)
2024-07-23;PLN-019;Warszawa;Ryby i mrożonki;Krewetki świeże;65.05;Uszkodzenie mechaniczne
2024-07-23;PLN-108;Częstochowa;Pieczywo;Bułki kajzerki;42.72;Przeterminowanie (nie udało się sprzedać)
2024-07-23;PLN-132;Legnica;Warzywa i owoce;Pomidory koktajl;537.26;Przeterminowanie (nie udało się sprzedać)
2024-07-24;PLN-081;Łódź;Ryby i mrożonki;Łosoś świeży;141.38;Łańcuch chłodniczy — błąd
2024-07-24;PLN-087;Gdańsk;Mięso i wędliny;Kurczak filet;63.87;Błąd zatowarowania (nadmiar)
2024-07-24;PLN-110;Opole;Mięso i wędliny;Wieprzowina łopatka;233.96;Uszkodzenie mechaniczne
2024-07-24;PLN-116;Płock;Ryby i mrożonki;Łosoś świeży;181.49;Łańcuch chłodniczy — błąd
2024-07-24;PLN-065;Poznań;Ryby i mrożonki;Pstrąg;50.32;Przeterminowanie (nie udało się sprzedać)
2024-07-25;PLN-017;Warszawa;Nabiał i jaja;Jogurt naturalny;147.02;Przeterminowanie (nie udało się sprzedać)
2024-07-25;PLN-131;Legnica;Mięso i wędliny;Boczek;153.29;Przeterminowanie (nie udało się sprzedać)
2024-07-25;PLN-115;Płock;Warzywa i owoce;Sałata lodowa;5.15;Przeterminowanie (nie udało się sprzedać)
2024-07-26;PLN-046;Wrocław;Pieczywo;Bagietka;115.16;Przeterminowanie (nie udało się sprzedać)
2024-07-26;PLN-097;Szczecin;Pieczywo;Bułki kajzerki;270.54;Uszkodzenie mechaniczne
2024-07-26;PLN-065;Poznań;Ryby i mrożonki;Pstrąg;230.75;Przeterminowanie (nie udało się sprzedać)
2024-07-26;PLN-083;Łódź;Nabiał i jaja;Jogurt naturalny;19.53;Błąd zatowarowania (nadmiar)
2024-07-26;PLN-045;Wrocław;Nabiał i jaja;Ser pleśniowy;90.17;Przeterminowanie (nie udało się sprzedać)
2024-07-26;PLN-048;Wrocław;Mięso i wędliny;Boczek;10.56;Przeterminowanie (nie udało się sprzedać)
2024-07-26;PLN-115;Płock;Pieczywo;Bułki kajzerki;13.67;Błąd zatowarowania (nadmiar)
2024-07-26;PLN-014;Warszawa;Pieczywo;Bułki kajzerki;54.71;Przeterminowanie (nie udało się sprzedać)
2024-07-26;PLN-130;Nowy Sącz;Pieczywo;Chleb wiejski;14.84;Łańcuch chłodniczy — błąd
2024-07-26;PLN-025;Kraków;Ryby i mrożonki;Łosoś świeży;142.21;Przeterminowanie (nie udało się sprzedać)
2024-07-26;PLN-129;Nowy Sącz;Warzywa i owoce;Truskawki;135.09;Uszkodzenie mechaniczne
